JYear,Year,SEAKCatch,esc_index,ISTI20_MJJ,energy_density_June,energy_density_July,condition_June,condition_July,May_DV,June_DV,July_DV,zoo_density_May,zoo_density_June,zoo_density_July,CPUE,Chatham_SST_MJJ,Chatham_SST_May,Chatham_SST_AMJJ,Chatham_SST_AMJ,Icy_Strait_SST_MJJ,Icy_Strait_SST_May,Icy_Strait_SST_AMJJ,Icy_Strait_SST_AMJ,NSEAK_SST_MJJ,NSEAK_SST_May,NSEAK_SST_AMJJ,NSEAK_SST_AMJ,SEAK_SST_MJJ,SEAK_SST_May,SEAK_SST_AMJJ,SEAK_SST_AMJ,NPI,index,weight_values
2007,2008,15.908924,10194617,8.936006202,,20.26007345,-0.056573248,-0.021390815,0.76,0.544444444,0.511111111,6832.7,2066.322222,1448.888889,1.17,9.521980831,7.042204473,8.407571885,7.266922258,9.494857143,6.548,8.161321429,6.866666667,9.435255456,6.898779762,8.237241443,7.031006944,9.992076605,7.511734885,8.822146076,7.637346351,1015.666667,pink_cal_pool,0.001
2008,2009,38.024357,17582000,7.911831676,,20.4612755,,-0.017191397,0.9,0.88,0.58,2926.371429,2748.68,2352.76,2.32,8.645857295,6.774217252,7.688322684,6.830777423,8.849666667,6.427714286,7.723642857,6.679857143,8.645089286,6.637254464,7.627074033,6.737522321,9.184993116,7.216113406,8.165332332,7.281231694,1016.113333,pink_cal_pool,0.001
2009,2010,24.141671,9484485,9.356666667,,20.4719835,,0.021920375,1,0.96,0.477777778,4807.84,3765.44,1507.333333,2.33,9.747880724,7.29798722,8.457276358,7.349584665,9.936428571,7.186857143,8.466,7.219761905,9.773665675,7.320751488,8.396283482,7.238375496,10.20194893,7.76138941,8.852883965,7.732964076,1015.056667,pink_cal_pool,0.001
2010,2011,58.882054,12626432,9.353333333,21.1364,20.958547,-0.034522253,-0.004746516,1.98,1.16,0.4,2301.7,1815.175,1309.15,4.11,9.645410011,7.969105431,8.661701278,7.925846645,9.872761905,7.708714286,8.680892857,7.807904762,9.623722718,7.755565476,8.540399926,7.71921875,10.0920691,8.283405933,9.052232445,8.226806859,1017.646667,pink_cal_pool,0.001
2011,2012,21.277018,11134757,8.653333333,,20.667133,-0.026855668,-0.014267383,0.477777778,0.577777778,0.488888889,1876.925,1356.95,1935.5,1.51,9.591288605,7.312428115,8.492771565,7.547763578,9.843714286,6.809857143,8.474535714,7.178809524,9.665032242,7.251808036,8.43703683,7.436448413,10.05173238,7.740296658,8.883162786,7.918394042,1015.686667,pink_cal_pool,0.001
2012,2013,94.719422,14178881,8.476666667,,20.591642,0.025860125,-0.004590771,0.56,0.966666667,0.355555556,1536.95,1553.25,1303.325,3.52,9.168242812,7.071565495,8.181861022,7.224142705,9.232047619,6.924857143,8.104178571,7.066952381,9.141282242,6.951986607,8.088485863,7.102557044,9.679481787,7.46885092,8.627470897,7.606586557,1016.67,pink_cal_pool,0.001
2013,2014,37.1738647,11025094,8.834666667,20.92416286,21.112521,0.069655819,-0.004577305,1.24,0.477777778,0.466666667,1408.55,1025.05,1077.375,2.14,9.656230032,6.741309904,8.441797125,7.213631523,9.880714286,6.369857143,8.452142857,6.973952381,9.67311756,6.588735119,8.35515811,7.041044147,10.39433346,7.510859932,9.104802854,7.85053824,1015.98,pink_cal_pool,0.001
2014,2015,35.092568,25153162,9.12,21.091869,21.088038,-0.051349178,-0.003172239,0.7,0.433333333,0.366666667,1695.775,1478.625,1081.3,3.8,9.975175719,8.165239617,8.755798722,7.767689031,10.23414286,7.897285714,8.81025,7.622952381,10.02861855,8.153869048,8.701034226,7.637539683,10.56935787,8.615362373,9.264317499,8.173009138,1015.843333,pink_cal_pool,0.001
2015,2016,18.3742,13764123,9.606666667,21.828486,21.91799,0.032382118,0.034347254,0.66,0.522222222,0.311111111,1115.45,1650.75,906.95,2.45,10.6215229,8.873769968,9.554488818,8.73,10.72547619,8.341142857,9.430714286,8.29247619,10.80536706,8.918936012,9.559315476,8.653417659,11.42881086,9.643894104,10.213681,9.315996996,1015.723333,pink_cal_pool,0.001
2016,2017,34.734366,12342523,10.1985,21.61026,21.68308,0.006230457,0.040646123,0.44,0.477777778,0.4,874.375,1421.95,973.9,4.35,11.0371459,8.915527157,10.0336901,9.068146965,11.64580952,8.806714286,10.37092857,9.137666667,11.18063492,8.917068452,10.05304129,9.001381448,11.67002253,9.607217424,10.59035205,9.592910252,1018.853333,pink_cal_pool,0.001
2017,2018,8.0677,10076959,8.560532917,,21.37307,,0.019812737,0.9,0.64,0.58,2366.025,1958.9,1362.25,0.35,9.654909478,7.652939297,8.695822684,7.759669862,9.819952381,7.215714286,8.662571429,7.506714286,9.821436012,7.75,8.766136533,7.776912202,10.30890725,8.254776568,9.282535674,8.287829516,1015.703333,pink_cal_pool,0.001
2018,2019,21.14191,13882487,8.924952083,,21.332,,-0.089149237,0.7,0.55,0.575,2871.3,2023.8,2364.625,1.17,9.870670927,7.403546326,8.753682109,7.6142918,9.986380952,6.920571429,8.739,7.432714286,10.10597718,7.533891369,8.857790179,7.62624256,10.78651521,8.279545625,9.537979722,8.295293529,1017.356667,pink_cal_pool,0.001
2019,2020,8.062989,8145577,9.91121125,21.439,21.71274,-0.023675231,-0.027996169,0.975,0.575,0.55,1620.625,1339.1,1518.775,1.14,10.47024494,8.24399361,9.455543131,8.354930777,10.73871429,7.786571429,9.514035714,8.099142857,10.87125744,8.423013393,9.649970238,8.43640873,11.46330705,9.013203154,10.24567124,9.047048442,1016.15,pink_cal_pool,1
2020,2021,48.528192,8809780,8.888253542,21.366,21.139,-0.055824443,-0.074863012,1.075,0.666666667,0.433333333,2126.7,1520.25,1114.5,2.147502256,9.993876464,8.08942492,8.835375399,7.860308839,10.39714286,7.834,9.048571429,7.855619048,10.22914435,8.264471726,8.982358631,7.944806548,10.7027613,8.898197522,9.522393917,8.528336463,1015.72,pink_cal_pool,1
2021,2022,18.299158,9734280,8.885509921,21.587,21.49235,-0.039981448,-0.073945466,1.425,0.766666667,0.657142857,3313.2,1228.2,1782,0.875454122,10.06083067,7.2485623,8.895159744,7.629190628,10.25933333,6.913571429,8.906642857,7.468,10.22695437,7.293787202,8.95766369,7.646894841,10.81557892,7.970443109,9.584913631,8.305451245,1016.573333,pink_cal_pool,1
2022,2023,46.772672,15665251,8.984388252,21.15909286,20.983,-0.076027028,-0.06962891,1.425,0.6875,0.1,3733.85,4743.875,590.825,1.448291273,10.174377,7.515079872,8.918003195,7.64171459,10.34238095,7.134428571,8.884785714,7.402857143,10.52362847,7.622693452,9.107412574,7.735262897,11.04067217,8.215925648,9.683010702,8.377366379,1016.253333,pink_cal_pool,1
2023,2024,,10032916,8.922996859,21.319,20.208,0.099944797,0.13693675,0.25,0.125,0.075,875.5,358.2138,302.833,1.218385407,9.798541001,7.528083067,8.606325879,7.403461129,9.715333333,7.126714286,8.431178571,7.095904762,9.976884921,7.531145833,8.691294643,7.40577381,10.68258606,8.212482163,9.349238641,8.03673426,1016.393333,pink_cal_pool,1
